#Año,Tipo,Presupuesto,Programa,Económica,Descripcion,Inicial,Seccion
2017,G,P,2211,16204,ACCION SOCIAL,1828.39,0101
2017,G,P,2211,16206,VESTUARIO,2142.00,0101
2017,G,P,9121,10000,RETRIBUCIONES BASICAS (ORGANOS DE GOBIERNO),272773.76,0101
2017,G,P,9121,11000,RETRIBUCIONES BASICAS (PERSONAL EVENTUAL),171751.86,0101
2017,G,P,9121,15001,PRODUCTIVIDAD-CONSTANCIA,16022.16,0101
2017,G,P,9121,16000,SEGURIDAD SOCIAL,144211.23,0101
2017,G,P,9121,22001,"PRENSA,REVISTA,LIBROS Y OTRAS PUBLICACIONES",1000.00,0101
2017,G,P,9121,22200,SERVICIO DE TELECOMUNICACIONES,22000.00,0101
2017,G,P,9121,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS,5000.00,0101
2017,G,P,9121,22646,III PLAN DE IGUALDAD DE OPORTUNIDADES,2000.00,0101
2017,G,P,9121,23000,DIETAS DE LOS MIEMBROS DE LOS ORG. DE GOBIERNO,1000.00,0101
2017,G,P,9121,23100,LOCOMOCION DE LOS MIEMBROS DE LOS ORG. DE GOBIERNO,1000.00,0101
2017,G,P,9121,23300,ASISTENCIA A PLENOS Y COMISIONES,65000.00,0101
2017,G,P,9121,46600,CUOTAS FEMP Y FAMP,4700.00,0101
2017,G,P,9121,48000,ATENCIONES BENEFICAS Y ASISTENCIALES,22000.00,0101
2017,G,P,9121,48015,PLAN INTEGRAL DE LA JUVENTUD,1000.00,0101
2017,G,P,9121,48900,OTRAS TRANSFERENCIAS,3300.00,0101
2017,G,P,9121,48911,ASIGNACIONES A GRUPOS POLITICOS,30507.00,0101
2017,G,P,2211,16204,ACCION SOCIAL,1065.45,0102
2017,G,P,2211,16206,VESTUARIO,3825.00,0102
2017,G,P,9201,12000,SUELDOS GRUPO A1,29648.44,0102
2017,G,P,9201,12003,SUELDOS GRUPO C1,9983.82,0102
2017,G,P,9201,12004,SUELDOS GRUPO C2,25387.41,0102
2017,G,P,9201,12005,SUELDOS GRUPO E,11057.24,0102
2017,G,P,9201,12006,TRIENIOS,16142.29,0102
2017,G,P,9201,12100,COMPLEMENTOS DE DESTINO,48177.32,0102
2017,G,P,9201,12101,COMPLEMENTOS ESPECIFICO,60857.77,0102
